X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type,slope_dip,slope_length,delz,zbase,zcross
509057.8012009365,7489439.492822001,Jeerinah_Formation,3936.647425927185,982,0.7714895211417743,0.63624202845178,505876.5910586776,7493296.940427709,512239.0113431954,7485582.045216292,11.867435795183297,full,2.564868284565611,3940.5951261297396,176.3433923296451,494.5054173944807,670.8488097241258
507561.3149599759,7488378.578111337,Jeerinah_Formation,457.4076149837909,222,0.7127276442609973,0.7014408778408693,504054.11057077156,7491942.216332641,511068.5193491802,7484814.939890032,11.867318276571282,full,15.954349703799148,475.732347214947,130.76520921668356,461.8631007432006,592.6283099598842
502162.100737675,7489842.45884371,Brockman_Iron_Formation,3342.26868876637,562,0.6982331075333351,0.7158704684119483,498582.74839561526,7493333.624381376,505741.4530797347,7486351.293306043,11.867411920576615,full,2.1932205582568534,3344.718857218592,128.00096064316904,672.1615214026409,544.1605607594719
502813.34973793,7489711.718942375,Mount_McRae_Shale_and_Mount_Sylvia_Formation,593.1133021368506,224,0.5257572952203803,0.8506346257486525,498560.17660918675,7492340.505418477,507066.52286667324,7487082.932466273,11.867367072304916,full,10.038121778563017,602.3338295275353,104.98882331766049,583.4936540647756,688.4824773824361
501964.42959267,7489060.708169466,Mount_McRae_Shale_and_Mount_Sylvia_Formation,552.8293934855454,217,0.9083744346174284,0.4181577292523333,499873.6409464083,7493602.580342553,504055.2182389317,7484518.835996379,11.8672905077118,full,10.827621909407094,562.8499224860442,105.73408599382651,569.2713613184545,675.005447312281
506423.709912525,7494366.04075543,Mount_McRae_Shale_and_Mount_Sylvia_Formation,423.8508874029447,105,0.8944122922106721,0.4472433918376562,504187.49295333674,7498838.102216484,508659.9268717133,7489893.979294376,11.867936582134618,full,2.5690657870042326,424.27732181675077,19.01765116230206,577.4198653824056,596.4375165447077
508185.89483465,7494586.06526143,Wittenoom_Formation,780.6794502878989,159,0.8944602013351006,0.4471475687371803,505950.1569909641,7499058.366268106,510421.6326783359,7490113.764254754,11.867950810437648,full,0.08745130372693087,780.6803596366725,1.1915622636870467,607.9205847946332,606.7290225309462
501533.685583595,7488079.694520565,Mount_McRae_Shale_and_Mount_Sylvia_Formation,804.0525909503884,282,0.6984197750480376,0.7156883524424918,497955.2438213826,7491571.793395805,505112.12734580744,7484587.595645324,11.867177092902324,full,8.493527600953268,812.9687819273538,120.07360815105312,604.3003345000491,724.3739426511022
500590.37424772,7486974.18577416,Mount_McRae_Shale_and_Mount_Sylvia_Formation,792.318297872465,284,0.5311409430997355,0.8472834818188796,496353.9568386256,7489629.890489658,504826.7916568144,7484318.481058661,11.867037204171226,full,8.883533792979689,801.9381172792954,123.84045704833545,558.3095090907092,682.1499661390446
502144.842486215,7487554.45419062,Wittenoom_Formation,1512.1791155430915,366,0.9711499935499778,0.2384694739958933,500952.4951162355,7492410.20415837,503337.1898561945,7482698.70422287,11.867130138078409,full,2.141873608669403,1513.2363434182557,56.555756180659614,511.5450907487958,568.1008469294554
502144.842486215,7487554.45419062,Wittenoom_Formation,833.6351023025626,231,0.9711499935499778,0.2384694739958933,500952.4951162355,7492410.20415837,503337.1898561945,7482698.70422287,11.867130138078409,full,4.2433184633712555,835.9265269899394,61.8520390485063,511.5450907487958,573.3971297973021
501279.098366925,7486706.191822195,Wittenoom_Formation,729.9350304744903,722,0.4390881025302368,0.8984440095055429,496786.87831939734,7488901.632334847,505771.3184144527,7484510.751309544,-999.0,full,0.8275827771993922,730.011180418523,10.543947185486559,547.2028820719,557.7468292573866
506308.45064574,7489842.264887515,Mount_McRae_Shale_and_Mount_Sylvia_Formation,4079.72182910151,865,0.5670808599407272,0.8236621262926233,502190.1400142769,7492677.669187219,510426.76127720316,7487006.860587812,11.867473493999142,full,0.3859942025076972,4079.814410783829,27.48497029340149,534.1548051845994,561.6397754780008
506308.45064574,7489842.264887515,Mount_McRae_Shale_and_Mount_Sylvia_Formation,569.4596097944174,169,0.5670808599407272,0.8236621262926233,502190.1400142769,7492677.669187219,510426.76127720316,7487006.860587812,11.867473493999142,full,5.3679725101492135,571.9680246349865,53.50863498201352,534.1548051845994,587.6634401666129
505251.21514274,7488839.239891025,Mount_McRae_Shale_and_Mount_Sylvia_Formation,3798.7099081272627,824,0.7413292089836692,0.6711415677095611,501895.5073041922,7492545.885935944,508606.9229812878,7485132.593846107,11.867351632131417,full,0.6698252479489973,3798.969510482507,44.41143401718159,549.8286508881284,594.24008490531
505251.21514274,7488839.239891025,Mount_McRae_Shale_and_Mount_Sylvia_Formation,459.8948611160354,237,0.7413292089836692,0.6711415677095611,501895.5073041922,7492545.885935944,508606.9229812878,7485132.593846107,11.867351632131417,full,17.606189869676662,482.495937701519,145.9419289221937,549.8286508881284,695.7705798103221
507708.98317064,7493472.053611685,Marra_Mamba_Iron_Formation,737.5498711238304,49,0.8092077284391258,0.5875226397632608,504771.3699718237,7497518.092253881,510646.5963694563,7489426.014969489,11.867850272683881,full,8.04859051906438,744.8872452207908,104.29379510709032,700.0820561961157,595.7882610890254
506788.74451105855,7489361.923625865,Wittenoom_Formation,685.6446890357795,149,0.7381775257855501,0.6746065078437383,503415.7119718399,7493052.811254793,510161.7770502772,7485671.035996937,11.86742314189577,full,0.6970032563433035,685.6954255060367,8.341280293460613,524.6136002570574,532.954880550518
505689.09024289495,7487980.7451937795,Wittenoom_Formation,967.488190532727,221,0.8971155422075318,0.4417959980915241,503480.11025243736,7492466.322904817,507898.07023335254,7483495.167482742,11.867244209418331,full,1.3709773808169947,967.7652255133096,23.154543669371947,525.85064464659,549.005188315962
503365.35600305,7489450.72519809,Wittenoom_Formation,666.1790920124066,139,0.7783381687075249,0.6278452796135496,500226.12960498227,7493342.4160416275,506504.5824011177,7485559.034354553,11.867376492288727,full,0.22800095663950004,666.184366641692,2.6509853484790256,581.7800375235418,584.4310228720208
504038.85457307,7489323.23428681,Marra_Mamba_Iron_Formation,2050.5510575400144,304,0.7071048462211431,0.7071087161466569,500503.3109923367,7492858.758517916,507574.3981538033,7485787.710055704,11.867393265452776,full,3.3403312361465436,2054.0407717059957,119.6822971541335,618.7262381765565,499.04394102242304
504038.85457307,7489323.23428681,Marra_Mamba_Iron_Formation,548.8296249918744,84,0.7071048462211431,0.7071087161466569,500503.3109923367,7492858.758517916,507574.3981538033,7485787.710055704,11.867393265452776,full,3.0129175227246914,549.5893167751883,28.887018619039168,618.7262381765565,589.8392195575174
503188.66429134,7488404.96972814,Marra_Mamba_Iron_Formation,811.1770127698877,142,0.427286087948647,0.9041164742695164,498668.0819199924,7490541.400167883,507709.24666268757,7486268.539288397,11.86726448351672,full,1.7661508327732065,811.5625514270953,25.012573489709894,585.6425268718348,560.6299533821249
507014.01943212,7488438.270622855,Marra_Mamba_Iron_Formation,773.647721091069,92,0.6330334283088078,0.7741244594014568,503143.3971351127,7491603.437764399,510884.6417291273,7485273.103481311,11.867315055626136,full,5.046960920827278,776.6588829848469,68.32440391152761,602.3972456056708,534.0728416941432
505970.31758740207,7487170.346069733,Marra_Mamba_Iron_Formation,3970.4538236942876,825,0.3539993488695926,0.935245668795052,501294.0892434268,7488940.34281408,510646.54593137733,7485400.349325385,11.867128010913476,full,0.13320192617740853,3970.464553376939,9.23057604623898,554.2264717226243,563.4570477688633
