GROUP_,id,x,y,z,code
Hamersley Group,15278,507038.6210941,7489590.28111873,516.9685528147492,Marra_Mamba_Iron_Formation
Hamersley Group,15278,507346.57968717,7488824.77977648,555.2265162958587,Marra_Mamba_Iron_Formation
Hamersley Group,15278,507122.77883762,7488571.27041753,602.5006384867763,Marra_Mamba_Iron_Formation
Hamersley Group,15278,506905.26002662,7488305.27082818,598.0173592792272,Marra_Mamba_Iron_Formation
Hamersley Group,15278,506726.31023245,7488115.26934919,606.6741610016437,Marra_Mamba_Iron_Formation
Hamersley Group,15278,506291.85144415,7487691.26054469,617.6652557231648,Marra_Mamba_Iron_Formation
Hamersley Group,15278,506183.02098253,7487545.24976985,629.6717539820198,Marra_Mamba_Iron_Formation
Hamersley Group,15278,505977.85163023,7487190.25057223,558.5808935218108,Marra_Mamba_Iron_Formation
Hamersley Group,15278,504112.21031119,7489370.73858194,625.6371453323696,Marra_Mamba_Iron_Formation
Hamersley Group,15278,504054.84969422,7489339.2294955,619.8671508512593,Marra_Mamba_Iron_Formation
Hamersley Group,15278,504022.85945192,7489307.23907812,618.286327585882,Marra_Mamba_Iron_Formation
Hamersley Group,15278,503812.41126831,7489181.22999233,620.4809807467416,Marra_Mamba_Iron_Formation
Hamersley Group,15278,503595.2984016,7489004.22849945,623.7068643065993,Marra_Mamba_Iron_Formation
Hamersley Group,15278,503429.14074833,7488826.7205776,620.9880014677601,Marra_Mamba_Iron_Formation
Hamersley Group,15278,503256.12908279,7488547.72192884,588.1966395497188,Marra_Mamba_Iron_Formation
Hamersley Group,15278,503121.19949989,7488262.21752744,596.189656652767,Marra_Mamba_Iron_Formation
Hamersley Group,15278,502916.39868018,7487983.21060201,592.8365170483526,Marra_Mamba_Iron_Formation
Hamersley Group,15278,502731.03095053,7487793.21716282,555.549634402789,Marra_Mamba_Iron_Formation
Hamersley Group,15278,503751.93059466,7489830.72821949,596.3651092571697,Wittenoom_Formation
Hamersley Group,15278,503726.26917126,7489792.74213862,594.4775684082812,Wittenoom_Formation
Hamersley Group,15278,503579.29157891,7489634.21813232,587.4146504699897,Wittenoom_Formation
Hamersley Group,15278,503451.52138667,7489520.23037148,583.2436788781231,Wittenoom_Formation
Hamersley Group,15278,503279.19061943,7489381.2200247,580.0648007859464,Wittenoom_Formation
Hamersley Group,15278,502602.71089084,7488882.20944812,564.1022175124625,Wittenoom_Formation
Hamersley Group,15278,502238.71233937,7488559.70991936,565.1930838244324,Wittenoom_Formation
Hamersley Group,15278,507038.6210941,7489590.28111873,516.9685528147492,Wittenoom_Formation
Hamersley Group,15278,506546.74923539,7489140.76871105,521.7564945036975,Wittenoom_Formation
Hamersley Group,15278,506232.74972524,7488633.24992889,544.3899665921736,Wittenoom_Formation
Hamersley Group,15278,506104.34892895,7488379.74796715,539.4010927180559,Wittenoom_Formation
Hamersley Group,15278,505925.05004401,7488125.75144156,545.6842401277239,Wittenoom_Formation
Hamersley Group,15278,505803.82967147,7488037.25008973,536.2566358615011,Wittenoom_Formation
Hamersley Group,15278,505574.35081432,7487924.24029783,515.7667149741687,Wittenoom_Formation
Hamersley Group,15278,509119.281440983,7494628.705166831,633.8116480126653,Marra_Mamba_Iron_Formation
Hamersley Group,15278,509116.73227652,7494626.3217257,633.9694882047653,Marra_Mamba_Iron_Formation
Hamersley Group,15278,508395.15061606,7493999.82133042,668.8942577411382,Marra_Mamba_Iron_Formation
Hamersley Group,15278,507948.29800811,7493645.8073712,693.6415626300944,Marra_Mamba_Iron_Formation
Hamersley Group,15278,507469.66833317,7493298.29985217,665.8371949230494,Marra_Mamba_Iron_Formation
Hamersley Group,15278,507054.66880202,7492956.79096984,622.1826971722802,Marra_Mamba_Iron_Formation
Hamersley Group,15278,506696.97811069,7492621.77927305,654.7131887344276,Marra_Mamba_Iron_Formation
Hamersley Group,15278,506364.62965554,7492286.27280427,667.3121396131123,Marra_Mamba_Iron_Formation
Hamersley Group,15278,505081.81917111,7488665.24045119,557.2139977102096,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,505030.54990333,7488582.73778775,540.9976159811248,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,506693.31992489,7490533.76938934,526.250308827666,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,506558.43179538,7490254.77032178,523.1606218999198,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,506404.491776,7489981.76076394,524.8585413379409,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,506212.40951548,7489702.76901109,531.7049522580133,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,506033.25047864,7489474.74876325,530.7117386482682,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,505835.18098417,7489278.25132348,547.8606917096384,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,505477.7713731,7489006.74807176,553.6890065937071,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,505324.67069937,7488905.74081509,546.012614154718,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,505177.75958611,7488772.73896696,553.1234086394683,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502957.37167387,7487244.71029663,496.0956481193587,Marra_Mamba_Iron_Formation
Hamersley Group,15278,502637.98246221,7486947.2101378,571.3165374175369,Marra_Mamba_Iron_Formation
Hamersley Group,15278,502356.59926208,7486617.69826717,573.1057167672152,Marra_Mamba_Iron_Formation
Hamersley Group,15278,502158.00848868,7486313.19815885,549.4348421239818,Marra_Mamba_Iron_Formation
Hamersley Group,15278,502590.86900248,7487736.7019943,527.8713663681128,Wittenoom_Formation
Hamersley Group,15278,502303.96177816,7487579.19762206,501.9855181911683,Wittenoom_Formation
Hamersley Group,15278,502221.22318642,7487573.20975415,510.0302634738192,Wittenoom_Formation
Hamersley Group,15278,502068.46178601,7487535.69862709,512.0518698144207,Wittenoom_Formation
Hamersley Group,15278,501883.76066227,7487479.68946818,516.0838986852681,Wittenoom_Formation
Hamersley Group,15278,501705.06865975,7487346.70073052,530.4352828574001,Wittenoom_Formation
Hamersley Group,15278,501558.0300522,7487188.69029627,523.5226743753254,Wittenoom_Formation
Hamersley Group,15278,501372.19865165,7486896.68979427,536.178563064068,Wittenoom_Formation
Hamersley Group,15278,501185.9980822,7486515.69385012,545.6567450479284,Wittenoom_Formation
Hamersley Group,15278,499497.8827818414,7492735.507166494,534.9526211998384,Weeli_Wolli_Formation
Hamersley Group,15278,499701.62931125,7492599.70160313,542.138015089077,Weeli_Wolli_Formation
Hamersley Group,15278,499797.50020578,7492264.21159675,544.6988489750668,Weeli_Wolli_Formation
Hamersley Group,15278,499629.76038692,7491737.19133755,559.7911154312816,Weeli_Wolli_Formation
Hamersley Group,15278,504507.2766991475,7495469.90680081,573.3587049085745,Weeli_Wolli_Formation
Hamersley Group,15278,504894.1120782,7494629.76913794,563.4408879170034,Weeli_Wolli_Formation
Hamersley Group,15278,504767.11165101,7494668.77036503,556.4888331485637,Weeli_Wolli_Formation
Hamersley Group,15278,504519.31900496,7494727.27055527,553.0486895580681,Weeli_Wolli_Formation
Hamersley Group,15278,504099.86133467,7494774.25984016,537.9398452143276,Weeli_Wolli_Formation
Hamersley Group,15278,503730.99944843,7494769.75883886,536.4669498654816,Weeli_Wolli_Formation
Hamersley Group,15278,503285.39976784,7494676.7503044,558.0665528209618,Weeli_Wolli_Formation
Hamersley Group,15278,503023.9116547,7494525.24718481,544.9296692589588,Weeli_Wolli_Formation
Hamersley Group,15278,502723.76017321,7494259.74873046,540.4619826643392,Weeli_Wolli_Formation
Hamersley Group,15278,502193.81185251,7493869.74027802,536.8765785333725,Weeli_Wolli_Formation
Hamersley Group,15278,501546.79878613,7494516.72860953,593.4761800668001,Weeli_Wolli_Formation
Hamersley Group,15278,501474.89798491,7494612.73866944,590.7464422112249,Weeli_Wolli_Formation
Hamersley Group,15278,500532.69861952,7486882.18080314,559.0610492815832,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,500365.59823511,7486514.1809226,559.4587843180253,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502021.73814513,7488408.2116702,556.0059872559079,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,501632.74103292,7488181.19913693,613.7504234979035,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,501434.63013427,7487978.1899042,569.5280680432386,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,501198.04160652,7487706.19086264,569.8448985495984,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,500993.4700005,7487484.19085883,583.4949750475137,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,500820.73866399,7487281.68112853,548.9805515746492,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,500648.04987592,7487066.19074518,559.9250506516033,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,509119.281440983,7495365.541019974,581.3344556758491,Wittenoom_Formation
Hamersley Group,15278,509066.98970629,7495271.31882404,585.9267293696411,Wittenoom_Formation
Hamersley Group,15278,508920.13245391,7494977.81841967,592.8116604874956,Wittenoom_Formation
Hamersley Group,15278,508577.48019707,7494781.82181102,610.1005738102613,Wittenoom_Formation
Hamersley Group,15278,507794.30947223,7494390.30871184,602.3374653675744,Wittenoom_Formation
Hamersley Group,15278,507280.30910084,7494072.30066574,595.7347232101072,Wittenoom_Formation
Hamersley Group,15278,506913.19018081,7493802.7907237,589.0533410532814,Wittenoom_Formation
Hamersley Group,15278,506619.53933291,7493386.78106396,590.9018250336396,Wittenoom_Formation
Hamersley Group,15278,506374.77084562,7492995.28054112,612.2701677729447,Wittenoom_Formation
Hamersley Group,15278,506203.48034953,7492750.2792031,623.76725913142,Wittenoom_Formation
Hamersley Group,15278,508107.57430584007,7495469.90680081,604.9098599048414,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,507990.11715091,7495393.82197861,606.5013923710776,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,507476.13969601,7495026.79869981,602.8111961692914,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,506913.19002079,7494610.80119283,580.5549436524606,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,505934.22980426,7494121.28031803,579.820006843648,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,503311.33127991,7490794.23871237,608.9314649598714,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,503150.55110579,7490413.22793987,586.6019991020728,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502874.23055253,7489810.21939004,584.9374920537699,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502752.46892333,7489613.21849471,582.6304500219043,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502547.77896971,7489366.22072721,578.4909620320448,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502464.76170227,7489296.7201959,575.5571019300498,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502324.39229754,7489195.72098964,568.3705145185567,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,502012.21958448,7489082.70763763,569.8553645186608,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,501916.63960086,7489038.7087013,568.4205308887296,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,15278,506417.25780508,7491318.28142618,562.4640736590915,Brockman_Iron_Formation
Hamersley Group,15278,506149.92126327,7491268.76620525,621.1686963441655,Brockman_Iron_Formation
Hamersley Group,15278,506016.07940574,7491212.2667153,631.197323324735,Brockman_Iron_Formation
Hamersley Group,15278,505888.17855983,7491060.26969814,593.5522582340801,Brockman_Iron_Formation
Hamersley Group,15278,505810.80922578,7490831.76120874,622.2783114449014,Brockman_Iron_Formation
Hamersley Group,15278,505796.96690759,7490596.27116559,623.3468443629305,Brockman_Iron_Formation
Hamersley Group,15278,505840.15914691,7490328.74849975,594.5240996608946,Brockman_Iron_Formation
Hamersley Group,15278,505839.39940614,7490163.25001158,587.4721374389543,Brockman_Iron_Formation
Hamersley Group,15278,505793.8315727,7489940.75859599,584.8899897166267,Brockman_Iron_Formation
Hamersley Group,15278,505608.08175199,7489655.25945323,635.2990469965131,Brockman_Iron_Formation
Hamersley Group,15278,505486.60981665,7489528.75001091,606.842171915418,Brockman_Iron_Formation
Hamersley Group,15278,505320.66105554,7489402.24986001,635.336420021439,Brockman_Iron_Formation
Hamersley Group,15278,504982.70030178,7489206.73974526,699.7953632698682,Brockman_Iron_Formation
Hamersley Group,15278,504867.86822754,7489130.73845488,688.7174421843079,Brockman_Iron_Formation
Hamersley Group,15278,504759.20914322,7489016.7300036,645.5234634854178,Brockman_Iron_Formation
Hamersley Group,15278,504695.14003789,7488928.23949772,608.5687040477756,Brockman_Iron_Formation
Hamersley Group,15278,504669.54047863,7488883.729435,599.5457269203206,Brockman_Iron_Formation
Hamersley Group,15278,501444.34138543,7488982.69962776,684.913495117418,Brockman_Iron_Formation
Hamersley Group,15278,501147.57909296,7488800.19847777,768.5493332789057,Brockman_Iron_Formation
Hamersley Group,15278,500831.85873695,7488535.17966923,758.2822151379888,Brockman_Iron_Formation
Hamersley Group,15278,500484.46052287,7488182.19026322,764.9841571214673,Brockman_Iron_Formation
Hamersley Group,15278,500143.32902958,7487747.17956808,805.5929667011214,Brockman_Iron_Formation
Hamersley Group,15278,499922.17970331,7487400.17813625,684.0062704555876,Brockman_Iron_Formation
Hamersley Group,15278,499719.97141351,7487066.16985561,663.8532395242287,Brockman_Iron_Formation
Hamersley Group,15278,499631.46820378,7486889.66947759,666.9747937997455,Brockman_Iron_Formation
Hamersley Group,15278,505306.71858811,7493964.26884435,564.3421285846352,Brockman_Iron_Formation
Hamersley Group,15278,506009.95999126,7492587.27064645,642.5988362635951,Brockman_Iron_Formation
Hamersley Group,15278,507235.8874962021,7495469.90680081,753.2082558324097,Brockman_Iron_Formation
Hamersley Group,15278,506839.79019263,7495149.29129947,676.4293318917114,Brockman_Iron_Formation
Hamersley Group,15278,506178.92853302,7494708.29140381,598.2319904802268,Brockman_Iron_Formation
Hamersley Group,15278,505493.6893041,7494512.77983444,605.4678118704066,Brockman_Iron_Formation
Hamersley Group,15278,504928.67019884,7494580.76953128,564.7084186025168,Brockman_Iron_Formation
Hamersley Group,15278,505159.38894207,7494252.77716992,565.1348211078697,Brockman_Iron_Formation
Hamersley Group,15278,503311.33127991,7490794.23871237,608.9314649598714,Brockman_Iron_Formation
Hamersley Group,15278,502974.5984068,7492183.72898131,560.5598906453713,Brockman_Iron_Formation
Hamersley Group,15278,502872.28940406,7492075.7291598,565.0942185779769,Brockman_Iron_Formation
Hamersley Group,15278,502776.11162285,7491904.72951889,583.6821146310394,Brockman_Iron_Formation
Hamersley Group,15278,502711.57870169,7491707.72907514,593.34493285966,Brockman_Iron_Formation
Hamersley Group,15278,502613.67972073,7491186.22224927,617.7543435571465,Brockman_Iron_Formation
Hamersley Group,15278,502528.04940299,7490569.21972174,644.7987173032876,Brockman_Iron_Formation
Hamersley Group,15278,502418.1699172,7490194.23163153,672.1498568459293,Brockman_Iron_Formation
Hamersley Group,15278,502251.59053561,7489934.20915299,682.6951199027333,Brockman_Iron_Formation
Hamersley Group,15278,502072.61093974,7489750.70853443,667.6213412068555,Brockman_Iron_Formation
Hamersley Group,15278,501843.09198085,7489618.21107839,666.2784950674314,Brockman_Iron_Formation
Hamersley Group,15278,501556.22816376,7489473.70652779,635.2247389536308,Brockman_Iron_Formation
Hamersley Group,15278,501046.93818903,7489361.70017556,709.1322465384278,Brockman_Iron_Formation
Fortescue Group,15278,506573.8072893572,7486286.997082645,460.96988258364684,Jeerinah_Formation
Fortescue Group,15278,506356.60067244,7486602.24845381,482.14985883251535,Jeerinah_Formation
Fortescue Group,15278,506126.81907136,7486431.74095279,470.23610040850747,Jeerinah_Formation
Fortescue Group,15278,509119.281440983,7489490.195147263,494.6429744800947,Jeerinah_Formation
Fortescue Group,15278,508996.32096089,7489388.79049674,488.01344668991084,Jeerinah_Formation
Fortescue Group,15278,508274.77063434,7488768.79112523,474.8716104313041,Jeerinah_Formation
Fortescue Group,15278,508070.65771035,7488648.79045303,462.87419266177517,Jeerinah_Formation
Fortescue Group,15278,507758.35928037,7488497.78037464,457.348700257378,Jeerinah_Formation
Fortescue Group,15278,507579.81012754,7488396.78038913,460.98897314013436,Jeerinah_Formation
Fortescue Group,15278,507535.08999106,7488352.76844145,463.5419557288544,Jeerinah_Formation
Fortescue Group,15278,507698.85202143,7488020.77955323,485.3385098359305,Jeerinah_Formation
