WKT	objectid	code	group_	min_age_ma	max_age_ma	unitname	rocktype1	rocktype2	descriptn
"POLYGON ((503812.41126831 7489181.22999233, 504022.85945192 7489307.23907812, 504054.84969422 7489339.2294955, 504112.21031119 7489370.73858194, 504410.59929229 7489048.73999596, 504230.8788608 7488917.73004114, 504071.18898192 7488772.23174005, 503873.31048533 7488614.22779404, 503681.56046652 7488418.21804871, 503400.13975258 7488082.21924601, 503297.65900215 7487923.70904285, 503188.5488227 7487707.71905832, 503130.55114263 7487549.21966008, 503040.56923552 7487358.71817461, 503002.14004913 7487295.20895987, 502957.37167387 7487244.71029663, 502590.86900248 7487736.7019943, 502731.03095053 7487793.21716282, 502916.39868018 7487983.21060201, 503121.19949989 7488262.21752744, 503256.12908279 7488547.72192884, 503429.14074833 7488826.7205776, 503595.2984016 7489004.22849945, 503812.41126831 7489181.22999233))"	"15273"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"POLYGON ((505574.35081432 7487924.24029783, 505803.82967147 7488037.25008973, 505925.05004401 7488125.75144156, 506104.34892895 7488379.74796715, 506232.74972524 7488633.24992889, 506546.74923539 7489140.76871105, 507038.6210941 7489590.28111873, 507346.57968717 7488824.77977648, 507122.77883762 7488571.27041753, 506905.26002662 7488305.27082818, 506726.31023245 7488115.26934919, 506291.85144415 7487691.26054469, 506183.02098253 7487545.24976985, 505977.85163023 7487190.25057223, 505958.53964278 7487139.22942579, 505880.64999487 7487247.25030827, 505446.80992926 7487848.25201483, 505574.35081432 7487924.24029783))"	"15996"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((502602.71089084 7488882.20944812, 503279.19061943 7489381.2200247, 503451.52138667 7489520.23037148, 503579.29157891 7489634.21813232, 503726.26917126 7489792.74213862, 503751.93059466 7489830.72821949, 504112.21031119 7489370.73858194, 504054.84969422 7489339.2294955, 504022.85945192 7489307.23907812, 503812.41126831 7489181.22999233, 503595.2984016 7489004.22849945, 503429.14074833 7488826.7205776, 503256.12908279 7488547.72192884, 503121.19949989 7488262.21752744, 502916.39868018 7487983.21060201, 502731.03095053 7487793.21716282, 502590.86900248 7487736.7019943, 502021.73814513 7488408.2116702, 502238.71233937 7488559.70991936, 502602.71089084 7488882.20944812))"	"16314"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((501916.63960086 7489038.7087013, 502012.21958448 7489082.70763763, 502324.39229754 7489195.72098964, 502464.76170227 7489296.7201959, 502547.77896971 7489366.22072721, 502752.46892333 7489613.21849471, 502874.23055253 7489810.21939004, 503150.55110579 7490413.22793987, 503311.33127991 7490794.23871237, 503751.93059466 7489830.72821949, 503726.26917126 7489792.74213862, 503579.29157891 7489634.21813232, 503451.52138667 7489520.23037148, 503279.19061943 7489381.2200247, 502602.71089084 7488882.20944812, 502238.71233937 7488559.70991936, 502021.73814513 7488408.2116702, 501444.34138543 7488982.69962776, 501916.63960086 7489038.7087013))"	"16315"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
"POLYGON ((504991.99777457 7488493.74014117, 505030.54990333 7488582.73778775, 505081.81917111 7488665.24045119, 505177.75958611 7488772.73896696, 505324.67069937 7488905.74081509, 505477.7713731 7489006.74807176, 505835.18098417 7489278.25132348, 506033.25047864 7489474.74876325, 506212.40951548 7489702.76901109, 506404.491776 7489981.76076394, 506558.43179538 7490254.77032178, 506693.31992489 7490533.76938934, 506862.31020291 7489960.26834379, 507038.6210941 7489590.28111873, 506546.74923539 7489140.76871105, 506232.74972524 7488633.24992889, 506104.34892895 7488379.74796715, 505925.05004401 7488125.75144156, 505803.82967147 7488037.25008973, 505574.35081432 7487924.24029783, 505446.80992926 7487848.25201483, 505191.69053105 7488202.74096686, 504991.99777457 7488493.74014117))"	"15999"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
"POLYGON ((509119.281440983 7494628.705166831, 509116.73227652 7494626.3217257, 508395.15061606 7493999.82133042, 507948.29800811 7493645.8073712, 507469.66833317 7493298.29985217, 507054.66880202 7492956.79096984, 506696.97811069 7492621.77927305, 506364.62965554 7492286.27280427, 506134.78947897 7492096.27828694, 506019.22999676 7492550.77985108, 506203.48034953 7492750.2792031, 506374.77084562 7492995.28054112, 506619.53933291 7493386.78106396, 506913.19018081 7493802.7907237, 507280.30910084 7494072.30066574, 507794.30947223 7494390.30871184, 508577.48019707 7494781.82181102, 508920.13245391 7494977.81841967, 509066.98970629 7495271.31882404, 509119.281440983 7495365.541019974, 509119.281440983 7494628.705166831))"	"15793"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((507038.6210941 7489590.28111873, 506862.31020291 7489960.26834379, 507054.24727113 7490207.26900707, 507291.50084998 7490613.28064951, 507547.63229455 7490981.27870389, 507816.09221866 7491272.79098774, 508052.75038178 7491557.79921603, 508589.80175406 7492153.31170648, 508839.05214045 7492412.80955435, 509119.281440983 7492679.821351675, 509119.281440983 7491933.397957923, 508810.10164296 7491668.30061392, 508285.46141483 7491009.29103987, 507754.15975479 7490286.28191042, 507338.75936279 7489862.27927615, 507038.6210941 7489590.28111873))"	"15997"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((505081.81917111 7488665.24045119, 505030.54990333 7488582.73778775, 504991.99777457 7488493.74014117, 504662.7901518 7488807.24012085, 504669.54047863 7488883.729435, 504695.14003789 7488928.23949772, 504759.20914322 7489016.7300036, 504867.86822754 7489130.73845488, 504982.70030178 7489206.73974526, 505320.66105554 7489402.24986001, 505486.60981665 7489528.75001091, 505608.08175199 7489655.25945323, 505793.8315727 7489940.75859599, 505839.39940614 7490163.25001158, 505840.15914691 7490328.74849975, 505796.96690759 7490596.27116559, 505810.80922578 7490831.76120874, 505888.17855983 7491060.26969814, 506016.07940574 7491212.2667153, 506149.92126327 7491268.76620525, 506417.25780508 7491318.28142618, 506693.31992489 7490533.76938934, 506558.43179538 7490254.77032178, 506404.491776 7489981.76076394, 506212.40951548 7489702.76901109, 506033.25047864 7489474.74876325, 505835.18098417 7489278.25132348, 505477.7713731 7489006.74807176, 505324.67069937 7488905.74081509, 505177.75958611 7488772.73896696, 505081.81917111 7488665.24045119))"	"15987"	"Mount McRae Shale and Mount Sylvia Formation"	"Hamersley Group"	"2501.0"	"2541.0"	"A-HAu-xsl-ci"	"sedimentary siliciclastic"	"sedimentary other chemical or biochemical"	"Mudstone  siltstone  chert  banded iron-formation  and dolomite; metamorphosed"
"POLYGON ((503607.88239996 7487635.71088509, 503767.97789569 7487863.71778053, 503979.11105685 7488136.22910215, 504183.73047882 7488364.72914012, 504662.7901518 7488807.24012085, 504991.99777457 7488493.74014117, 505191.69053105 7488202.74096686, 504977.17866435 7488054.74011156, 504811.40947671 7487960.22782455, 504671.01006612 7487865.23009077, 504141.81959474 7487581.7211212, 503937.4794835 7487404.72073796, 503777.53796989 7487201.71713134, 503623.45096866 7486897.2185412, 503552.33970429 7486655.70940223, 503360.04894137 7486870.20924173, 503215.78006552 7486753.21122369, 503151.96866192 7486715.20804078, 503049.8107587 7486626.70209353, 502915.62863508 7486493.70915225, 502734.3799084084 7486286.997082645, 502139.6785903703 7486286.997082645, 502158.00848868 7486313.19815885, 502356.59926208 7486617.69826717, 502637.98246221 7486947.2101378, 502957.37167387 7487244.71029663, 503261.26194803 7486956.70812857, 503607.88239996 7487635.71088509))"	"15998"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"MULTIPOLYGON (((505962.6435093639 7486286.997082645, 506126.81907136 7486431.74095279, 506356.60067244 7486602.24845381, 506573.8072893572 7486286.997082645, 505962.6435093639 7486286.997082645)), ((508142.1930265273 7486286.997082645, 508068.69956995 7486904.77848414, 507962.93946786 7487395.77051125, 507698.85202143 7488020.77955323, 507535.08999106 7488352.76844145, 507579.81012754 7488396.78038913, 507758.35928037 7488497.78037464, 508070.65771035 7488648.79045303, 508274.77063434 7488768.79112523, 508996.32096089 7489388.79049674, 509119.281440983 7489490.195147263, 509119.281440983 7486286.997082645, 508142.1930265273 7486286.997082645)))"	"14311"	"Bunjinah Formation"	"Fortescue Group"	"2715.0"	"2718.0"	"A-FOu-bbo"	"igneous mafic volcanic"	"None"	"Pillowed and massive basaltic flows; basaltic breccia and basaltic volcanic sandstone; minor chert; amygdaloidal basalt flows occur in upper parts of formation; metamorphosed"
"POLYGON ((507589.38962804 7486411.2684065, 507787.98024455 7486709.2688856, 507928.44172565 7486822.76918207, 508068.69956995 7486904.77848414, 508142.1930265273 7486286.997082645, 507532.6699437041 7486286.997082645, 507589.38962804 7486411.2684065))"	"15992"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"POLYGON ((507962.93946786 7487395.77051125, 508068.69956995 7486904.77848414, 507928.44172565 7486822.76918207, 507787.98024455 7486709.2688856, 507589.38962804 7486411.2684065, 507532.6699437041 7486286.997082645, 507084.7059798266 7486286.997082645, 507124.87951069 7486350.25823107, 507234.73751821 7486718.75975048, 507312.14047588 7486940.77140055, 507395.53939626 7487093.25998581, 507472.29062374 7487181.7719805, 507619.0003522 7487282.77045454, 507752.84969991 7487339.27075544, 507962.93946786 7487395.77051125))"	"15993"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((503767.97789569 7487863.71778053, 503607.88239996 7487635.71088509, 503261.26194803 7486956.70812857, 502957.37167387 7487244.71029663, 503002.14004913 7487295.20895987, 503040.56923552 7487358.71817461, 503130.55114263 7487549.21966008, 503188.5488227 7487707.71905832, 503297.65900215 7487923.70904285, 503400.13975258 7488082.21924601, 503681.56046652 7488418.21804871, 503873.31048533 7488614.22779404, 504071.18898192 7488772.23174005, 504230.8788608 7488917.73004114, 504410.59929229 7489048.73999596, 504662.7901518 7488807.24012085, 504183.73047882 7488364.72914012, 503979.11105685 7488136.22910215, 503767.97789569 7487863.71778053))"	"15988"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((501185.9980822 7486515.69385012, 501372.19865165 7486896.68979427, 501558.0300522 7487188.69029627, 501705.06865975 7487346.70073052, 501883.76066227 7487479.68946818, 502068.46178601 7487535.69862709, 502221.22318642 7487573.20975415, 502303.96177816 7487579.19762206, 502590.86900248 7487736.7019943, 502957.37167387 7487244.71029663, 502637.98246221 7486947.2101378, 502356.59926208 7486617.69826717, 502158.00848868 7486313.19815885, 502139.6785903703 7486286.997082645, 501057.1027828318 7486286.997082645, 501185.9980822 7486515.69385012))"	"15274"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((500276.068476393 7486286.997082645, 500365.59823511 7486514.1809226, 500532.69861952 7486882.18080314, 500648.04987592 7487066.19074518, 500820.73866399 7487281.68112853, 500993.4700005 7487484.19085883, 501198.04160652 7487706.19086264, 501434.63013427 7487978.1899042, 501632.74103292 7488181.19913693, 502021.73814513 7488408.2116702, 502590.86900248 7487736.7019943, 502303.96177816 7487579.19762206, 502221.22318642 7487573.20975415, 502068.46178601 7487535.69862709, 501883.76066227 7487479.68946818, 501705.06865975 7487346.70073052, 501558.0300522 7487188.69029627, 501372.19865165 7486896.68979427, 501185.9980822 7486515.69385012, 501057.1027828318 7486286.997082645, 500276.068476393 7486286.997082645))"	"16225"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
"POLYGON ((502734.3799084084 7486286.997082645, 502915.62863508 7486493.70915225, 503049.8107587 7486626.70209353, 503151.96866192 7486715.20804078, 503215.78006552 7486753.21122369, 503360.04894137 7486870.20924173, 503552.33970429 7486655.70940223, 503347.56042137 7486389.71998287, 503284.0625375137 7486286.997082645, 502734.3799084084 7486286.997082645))"	"16000"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"MULTIPOLYGON (((499497.8827818414 7492735.507166494, 499701.62931125 7492599.70160313, 499797.50020578 7492264.21159675, 499629.76038692 7491737.19133755, 499497.8827818414 7491630.513949697, 499497.8827818414 7492735.507166494)), ((504507.2766991475 7495469.90680081, 504894.1120782 7494629.76913794, 504767.11165101 7494668.77036503, 504519.31900496 7494727.27055527, 504099.86133467 7494774.25984016, 503730.99944843 7494769.75883886, 503285.39976784 7494676.7503044, 503023.9116547 7494525.24718481, 502723.76017321 7494259.74873046, 502193.81185251 7493869.74027802, 501546.79878613 7494516.72860953, 501474.89798491 7494612.73866944, 500279.2087871885 7495469.90680081, 504507.2766991475 7495469.90680081)))"	"14812"	"Weeli Wolli Formation"	"Hamersley Group"	"2450.0"	"2451.0"	"P_-HAj-xci-od"	"sedimentary other chemical or biochemical"	"igneous mafic intrusive"	"Banded iron-formation (commonly jaspilitic)  mudstone  siltstone  and numerous dolerite sills; metamorphosed"
"POLYGON ((500532.69861952 7486882.18080314, 500365.59823511 7486514.1809226, 500276.068476393 7486286.997082645, 499497.8827818414 7486286.997082645, 499497.8827818414 7486579.807533051, 499631.46820378 7486889.66947759, 499719.97141351 7487066.16985561, 499922.17970331 7487400.17813625, 500143.32902958 7487747.17956808, 500484.46052287 7488182.19026322, 500831.85873695 7488535.17966923, 501147.57909296 7488800.19847777, 501444.34138543 7488982.69962776, 502021.73814513 7488408.2116702, 501632.74103292 7488181.19913693, 501434.63013427 7487978.1899042, 501198.04160652 7487706.19086264, 500993.4700005 7487484.19085883, 500820.73866399 7487281.68112853, 500648.04987592 7487066.19074518, 500532.69861952 7486882.18080314))"	"15275"	"Mount McRae Shale and Mount Sylvia Formation"	"Hamersley Group"	"2501.0"	"2541.0"	"A-HAu-xsl-ci"	"sedimentary siliciclastic"	"sedimentary other chemical or biochemical"	"Mudstone  siltstone  chert  banded iron-formation  and dolomite; metamorphosed"
"POLYGON ((509119.281440983 7495365.541019974, 509066.98970629 7495271.31882404, 508920.13245391 7494977.81841967, 508577.48019707 7494781.82181102, 507794.30947223 7494390.30871184, 507280.30910084 7494072.30066574, 506913.19018081 7493802.7907237, 506619.53933291 7493386.78106396, 506374.77084562 7492995.28054112, 506203.48034953 7492750.2792031, 506019.22999676 7492550.77985108, 506009.95999126 7492587.27064645, 505306.71858811 7493964.26884435, 505934.22980426 7494121.28031803, 506913.19002079 7494610.80119283, 507476.13969601 7495026.79869981, 507990.11715091 7495393.82197861, 508107.5743058401 7495469.90680081, 509119.281440983 7495469.90680081, 509119.281440983 7495365.541019974))"	"15794"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
"POLYGON ((508107.5743058401 7495469.90680081, 507990.11715091 7495393.82197861, 507476.13969601 7495026.79869981, 506913.19002079 7494610.80119283, 505934.22980426 7494121.28031803, 505306.71858811 7493964.26884435, 505159.38894207 7494252.77716992, 504928.67019884 7494580.76953128, 505493.6893041 7494512.77983444, 506178.92853302 7494708.29140381, 506839.79019263 7495149.29129947, 507235.8874962021 7495469.90680081, 508107.5743058401 7495469.90680081))"	"16210"	"Mount McRae Shale and Mount Sylvia Formation"	"Hamersley Group"	"2501.0"	"2541.0"	"A-HAu-xsl-ci"	"sedimentary siliciclastic"	"sedimentary other chemical or biochemical"	"Mudstone  siltstone  chert  banded iron-formation  and dolomite; metamorphosed"
"POLYGON ((502974.5984068 7492183.72898131, 503311.33127991 7490794.23871237, 503150.55110579 7490413.22793987, 502874.23055253 7489810.21939004, 502752.46892333 7489613.21849471, 502547.77896971 7489366.22072721, 502464.76170227 7489296.7201959, 502324.39229754 7489195.72098964, 502012.21958448 7489082.70763763, 501916.63960086 7489038.7087013, 501444.34138543 7488982.69962776, 501046.93818903 7489361.70017556, 501556.22816376 7489473.70652779, 501843.09198085 7489618.21107839, 502072.61093974 7489750.70853443, 502251.59053561 7489934.20915299, 502418.1699172 7490194.23163153, 502528.04940299 7490569.21972174, 502613.67972073 7491186.22224927, 502711.57870169 7491707.72907514, 502776.11162285 7491904.72951889, 502872.28940406 7492075.7291598, 502974.5984068 7492183.72898131))"	"15272"	"Mount McRae Shale and Mount Sylvia Formation"	"Hamersley Group"	"2501.0"	"2541.0"	"A-HAu-xsl-ci"	"sedimentary siliciclastic"	"sedimentary other chemical or biochemical"	"Mudstone  siltstone  chert  banded iron-formation  and dolomite; metamorphosed"
"POLYGON ((507235.8874962021 7495469.90680081, 506839.79019263 7495149.29129947, 506178.92853302 7494708.29140381, 505493.6893041 7494512.77983444, 504928.67019884 7494580.76953128, 505159.38894207 7494252.77716992, 505306.71858811 7493964.26884435, 506009.95999126 7492587.27064645, 506019.22999676 7492550.77985108, 506134.78947897 7492096.27828694, 506417.25780508 7491318.28142618, 506149.92126327 7491268.76620525, 506016.07940574 7491212.2667153, 505888.17855983 7491060.26969814, 505810.80922578 7490831.76120874, 505796.96690759 7490596.27116559, 505840.15914691 7490328.74849975, 505839.39940614 7490163.25001158, 505793.8315727 7489940.75859599, 505608.08175199 7489655.25945323, 505486.60981665 7489528.75001091, 505320.66105554 7489402.24986001, 504982.70030178 7489206.73974526, 504867.86822754 7489130.73845488, 504759.20914322 7489016.7300036, 504695.14003789 7488928.23949772, 504669.54047863 7488883.729435, 504662.7901518 7488807.24012085, 504410.59929229 7489048.73999596, 504112.21031119 7489370.73858194, 503751.93059466 7489830.72821949, 503311.33127991 7490794.23871237, 502974.5984068 7492183.72898131, 502872.28940406 7492075.7291598, 502776.11162285 7491904.72951889, 502711.57870169 7491707.72907514, 502613.67972073 7491186.22224927, 502528.04940299 7490569.21972174, 502418.1699172 7490194.23163153, 502251.59053561 7489934.20915299, 502072.61093974 7489750.70853443, 501843.09198085 7489618.21107839, 501556.22816376 7489473.70652779, 501046.93818903 7489361.70017556, 501444.34138543 7488982.69962776, 501147.57909296 7488800.19847777, 500831.85873695 7488535.17966923, 500484.46052287 7488182.19026322, 500143.32902958 7487747.17956808, 499922.17970331 7487400.17813625, 499719.97141351 7487066.16985561, 499631.46820378 7486889.66947759, 499497.8827818414 7486579.807533051, 499497.8827818414 7491630.513949697, 499629.76038692 7491737.19133755, 499797.50020578 7492264.21159675, 499701.62931125 7492599.70160313, 499497.8827818414 7492735.507166494, 499497.8827818414 7495469.90680081, 500279.2087871885 7495469.90680081, 501474.89798491 7494612.73866944, 501546.79878613 7494516.72860953, 502193.81185251 7493869.74027802, 502723.76017321 7494259.74873046, 503023.9116547 7494525.24718481, 503285.39976784 7494676.7503044, 503730.99944843 7494769.75883886, 504099.86133467 7494774.25984016, 504519.31900496 7494727.27055527, 504767.11165101 7494668.77036503, 504894.1120782 7494629.76913794, 504507.2766991475 7495469.90680081, 507235.8874962021 7495469.90680081))"	"14341"	"Brockman Iron Formation"	"Hamersley Group"	"2451.0"	"2494.0"	"P_-HAb-cib"	"sedimentary other chemical or biochemical"	"None"	"Banded iron-formation  chert  mudstone  and siltstone; metamorphosed"
"MULTIPOLYGON (((503284.0625375137 7486286.997082645, 503347.56042137 7486389.71998287, 503552.33970429 7486655.70940223, 503960.8639612372 7486286.997082645, 503284.0625375137 7486286.997082645)), ((509119.281440983 7492679.821351675, 508839.05214045 7492412.80955435, 508589.80175406 7492153.31170648, 508052.75038178 7491557.79921603, 507816.09221866 7491272.79098774, 507547.63229455 7490981.27870389, 507291.50084998 7490613.28064951, 507054.24727113 7490207.26900707, 506862.31020291 7489960.26834379, 506693.31992489 7490533.76938934, 506417.25780508 7491318.28142618, 506134.78947897 7492096.27828694, 506364.62965554 7492286.27280427, 506696.97811069 7492621.77927305, 507054.66880202 7492956.79096984, 507469.66833317 7493298.29985217, 507948.29800811 7493645.8073712, 508395.15061606 7493999.82133042, 509116.73227652 7494626.3217257, 509119.281440983 7494628.705166831, 509119.281440983 7492679.821351675)), ((503965.7011203291 7486286.997082645, 503995.98219551 7486335.20968051, 504092.45117424 7486563.72065502, 504220.54912075 7486747.73110043, 504341.99149244 7486880.72015, 504514.26153403 7487007.22815149, 504673.68999808 7487088.73084576, 504960.25778336 7487176.22879214, 505132.56828453 7487309.23912343, 505254.10123751 7487448.7410197, 505375.83059507 7487645.25055361, 505446.80992926 7487848.25201483, 505880.64999487 7487247.25030827, 505850.60150777 7487177.74086504, 505735.50791681 7487044.75205604, 505486.45109379 7486836.22824211, 505326.96949848 7486728.72979617, 505167.61850639 7486647.23111427, 505001.82095915 7486552.23018532, 504842.12112515 7486406.73009448, 504743.7958704393 7486286.997082645, 503965.7011203291 7486286.997082645)), ((509119.281440983 7489490.195147263, 508996.32096089 7489388.79049674, 508274.77063434 7488768.79112523, 508070.65771035 7488648.79045303, 507758.35928037 7488497.78037464, 507579.81012754 7488396.78038913, 507535.08999106 7488352.76844145, 507698.85202143 7488020.77955323, 507962.93946786 7487395.77051125, 507752.84969991 7487339.27075544, 507619.0003522 7487282.77045454, 507472.29062374 7487181.7719805, 507395.53939626 7487093.25998581, 507312.14047588 7486940.77140055, 507234.73751821 7486718.75975048, 507124.87951069 7486350.25823107, 507084.7059798266 7486286.997082645, 506573.8072893572 7486286.997082645, 506356.60067244 7486602.24845381, 506126.81907136 7486431.74095279, 505962.6435093639 7486286.997082645, 505340.3391927148 7486286.997082645, 505343.97109764 7486289.74086769, 505528.88062477 7486390.23940319, 505681.98995818 7486491.73942306, 505847.95214759 7486624.24023933, 506014.3517202 7486846.25213272, 506033.47163037 7486852.24063792, 506110.05077229 7486915.74050715, 505958.53964278 7487139.22942579, 505977.85163023 7487190.25057223, 506183.02098253 7487545.24976985, 506291.85144415 7487691.26054469, 506726.31023245 7488115.26934919, 506905.26002662 7488305.27082818, 507122.77883762 7488571.27041753, 507346.57968717 7488824.77977648, 507038.6210941 7489590.28111873, 507338.75936279 7489862.27927615, 507754.15975479 7490286.28191042, 508285.46141483 7491009.29103987, 508810.10164296 7491668.30061392, 509119.281440983 7491933.397957923, 509119.281440983 7489490.195147263)))"	"14822"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"POLYGON ((505326.96949848 7486728.72979617, 505486.45109379 7486836.22824211, 505735.50791681 7487044.75205604, 505850.60150777 7487177.74086504, 505880.64999487 7487247.25030827, 505958.53964278 7487139.22942579, 506110.05077229 7486915.74050715, 506033.47163037 7486852.24063792, 506014.3517202 7486846.25213272, 505847.95214759 7486624.24023933, 505681.98995818 7486491.73942306, 505528.88062477 7486390.23940319, 505343.97109764 7486289.74086769, 505340.3391927148 7486286.997082645, 504743.7958704393 7486286.997082645, 504842.12112515 7486406.73009448, 505001.82095915 7486552.23018532, 505167.61850639 7486647.23111427, 505326.96949848 7486728.72979617))"	"15995"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((503937.4794835 7487404.72073796, 504141.81959474 7487581.7211212, 504671.01006612 7487865.23009077, 504811.40947671 7487960.22782455, 504977.17866435 7488054.74011156, 505191.69053105 7488202.74096686, 505446.80992926 7487848.25201483, 505375.83059507 7487645.25055361, 505254.10123751 7487448.7410197, 505132.56828453 7487309.23912343, 504960.25778336 7487176.22879214, 504673.68999808 7487088.73084576, 504514.26153403 7487007.22815149, 504341.99149244 7486880.72015, 504220.54912075 7486747.73110043, 504092.45117424 7486563.72065502, 503995.98219551 7486335.20968051, 503965.7011203291 7486286.997082645, 503960.8639612372 7486286.997082645, 503552.33970429 7486655.70940223, 503623.45096866 7486897.2185412, 503777.53796989 7487201.71713134, 503937.4794835 7487404.72073796))"	"15278"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
