X, Y, l, m, angle
499997.8827818414, 7486786.997082645, -0.7793584885107644, 0.6265782843238478, -51.201876685723136
499997.8827818414, 7487286.997082645, -0.22029482848994894, 0.9754333337243424, -12.726350274123245
499997.8827818414, 7487786.997082645, 0.14527767863452465, 0.9893909217748886, 8.353359269961143
499997.8827818414, 7488286.997082645, 0.33655233836041226, 0.9416647617619226, 19.66696251487242
499997.8827818414, 7488786.997082645, 0.4287017548972513, 0.9034460721858373, 25.38519842677025
499997.8827818414, 7489286.997082645, 0.4505221609061985, 0.8927652449173912, 26.777190187574508
499997.8827818414, 7489786.997082645, 0.41263097623371386, 0.9108982805189678, 24.370216116746125
499997.8827818414, 7490286.997082645, 0.32434621085748233, 0.9459384417087582, 18.925970084772064
499997.8827818414, 7490786.997082645, 0.20367017517827457, 0.9790395598456942, 11.751663438913715
499997.8827818414, 7491286.997082645, 0.07715149222321672, 0.997019381580785, 4.424852026871017
499997.8827818414, 7491786.997082645, -0.03184147564066578, 0.9994929316553594, -1.8246905923852226
499997.8827818414, 7492286.997082645, -0.1111692588001577, 0.9938014871682491, -6.382722594520781
499997.8827818414, 7492786.997082645, -0.1577542588080757, 0.987478401701989, -9.07656933447867
499997.8827818414, 7493286.997082645, -0.17389547423189738, 0.9847641159392758, -10.014387948578673
499997.8827818414, 7493786.997082645, -0.1655401566760582, 0.9862030503540669, -9.528614696772422
499997.8827818414, 7494286.997082645, -0.14005979678375205, 0.9901430469002417, -8.05130644300373
499997.8827818414, 7494786.997082645, -0.10469958899265333, 0.9945038944442447, -6.009858878486781
499997.8827818414, 7495286.997082645, -0.06607919775654086, 0.9978143813474789, -3.7888198525814722
500497.8827818414, 7486786.997082645, -0.19764095515675026, 0.9802744783195813, -11.399042303261758
500497.8827818414, 7487286.997082645, 0.06332669442666752, 0.9979928505620626, 3.6307818202623876
500497.8827818414, 7487786.997082645, 0.24775228684913916, 0.9688234123724623, 14.344543868590566
500497.8827818414, 7488286.997082645, 0.4082956776529955, 0.9128497355040867, 24.097816814266135
500497.8827818414, 7488786.997082645, 0.5192700767945806, 0.8546101961395911, 31.283302419040105
500497.8827818414, 7489286.997082645, 0.5573845316694442, 0.830254469337946, 33.87511296581072
500497.8827818414, 7489786.997082645, 0.5264495218174695, 0.8502063872837922, 31.765875701508982
500497.8827818414, 7490286.997082645, 0.43776864784354586, 0.8990876547730112, 25.961598535179263
500497.8827818414, 7490786.997082645, 0.31270122406876355, 0.9498515381184035, 18.222094432615485
500497.8827818414, 7491286.997082645, 0.18427272422766786, 0.9828751513319043, 10.618733597785562
500497.8827818414, 7491786.997082645, 0.08043724603376075, 0.9967596748717839, 4.613699085748196
500497.8827818414, 7492286.997082645, 0.012521051261236652, 0.9999216085650482, 0.7174221390174378
500497.8827818414, 7492786.997082645, -0.020043317381288846, 0.99979911253629, -1.1484743991221102
500497.8827818414, 7493286.997082645, -0.02268497556966745, 0.9997426628304923, -1.2998648615937443
500497.8827818414, 7493786.997082645, -0.0031022175657225448, 0.9999951881115102, -0.1777442587425256
500497.8827818414, 7494286.997082645, 0.030095799393359098, 0.9995470188334686, 1.7246227013777107
500497.8827818414, 7494786.997082645, 0.06876814380856366, 0.997632669070698, 3.9432365451548357
500497.8827818414, 7495286.997082645, 0.10615620034430939, 0.9943494662986746, 6.093784289546319
500997.8827818414, 7486786.997082645, 0.2106294056873195, 0.9775659841973874, 12.159239566483073
500997.8827818414, 7487286.997082645, 0.33502431811028854, 0.9422094811000027, 19.57401672247139
500997.8827818414, 7487786.997082645, 0.4284071490196007, 0.9035858092449758, 25.366516218190498
500997.8827818414, 7488286.997082645, 0.5437636307748844, 0.8392384129950887, 32.94021491708199
500997.8827818414, 7488786.997082645, 0.642482954604692, 0.7662999758857005, 39.977217327970685
500997.8827818414, 7489286.997082645, 0.6711993118478846, 0.7412769278582236, 42.15969587696678
500997.8827818414, 7489786.997082645, 0.6306655043777567, 0.7760547800174611, 39.09923932603332
500997.8827818414, 7490286.997082645, 0.5306240245145496, 0.8476073056598691, 32.04762735084157
500997.8827818414, 7490786.997082645, 0.3948496348213774, 0.9187457569324742, 23.25659650185197
500997.8827818414, 7491286.997082645, 0.26516288067588667, 0.9642036334258783, 15.376631415706111
500997.8827818414, 7491786.997082645, 0.17400662373968642, 0.984744482033139, 10.0208549400821
500997.8827818414, 7492286.997082645, 0.1285607623316764, 0.9917016337531659, 7.386432191529737
500997.8827818414, 7492786.997082645, 0.12061646746621248, 0.9926991829229901, 6.92768199196889
500997.8827818414, 7493286.997082645, 0.13876191345584274, 0.9903257703271552, 7.97620985405763
500997.8827818414, 7493786.997082645, 0.17264984929088592, 0.9849832635836175, 9.941922775425416
500997.8827818414, 7494286.997082645, 0.2131958927441537, 0.9770094735042354, 12.30970578812842
500997.8827818414, 7494786.997082645, 0.25277317707701036, 0.9675255660448433, 14.641675406280207
500997.8827818414, 7495286.997082645, 0.2858014358029459, 0.9582888600484587, 16.60676020384304
501497.8827818414, 7486786.997082645, 0.48288116318579727, 0.8756858924525001, 28.873745012462912
501497.8827818414, 7487286.997082645, 0.5911159365307527, 0.8065866038928312, 36.23623849265485
501497.8827818414, 7487786.997082645, 0.6727509029100629, 0.7398690577620443, 42.2797375038383
501497.8827818414, 7488286.997082645, 0.7416806586333999, 0.6707531592241113, 47.874779366050966
501497.8827818414, 7488786.997082645, 0.7818409855969446, 0.6234778851256864, 51.42944472975582
501497.8827818414, 7489286.997082645, 0.7748238978058611, 0.6321771329215669, 50.78906927016682
501497.8827818414, 7489786.997082645, 0.7136722946983309, 0.7004797325976097, 45.53449430330855
501497.8827818414, 7490286.997082645, 0.5948773889748673, 0.803816454227235, 36.503891931190225
501497.8827818414, 7490786.997082645, 0.44387566638277653, 0.8960883844762447, 26.351426641446118
501497.8827818414, 7491286.997082645, 0.31469497752269826, 0.9491928524393705, 18.34240085293664
501497.8827818414, 7491786.997082645, 0.24399498633324332, 0.9697764931386202, 14.122448332783085
501497.8827818414, 7492286.997082645, 0.23136439657212582, 0.9728671625657925, 13.37741278610579
501497.8827818414, 7492786.997082645, 0.25677272839474086, 0.966471813325521, 14.87865306324758
501497.8827818414, 7493286.997082645, 0.30026723531684146, 0.9538551186606804, 17.473654597961822
501497.8827818414, 7493786.997082645, 0.34879995185644697, 0.9371972010121138, 20.41393236902079
501497.8827818414, 7494286.997082645, 0.3943123083014253, 0.9189764978072081, 23.22309139425806
501497.8827818414, 7494786.997082645, 0.4315711651076433, 0.9020788931394145, 25.567311617662916
501497.8827818414, 7495286.997082645, 0.45759303703375703, 0.889161747073176, 27.23189931429873
501997.8827818414, 7486786.997082645, 0.6616572615480969, 0.74980642051177, 41.4263877789288
501997.8827818414, 7487286.997082645, 0.7557014486283156, 0.6549162698704813, 49.08669860168346
501997.8827818414, 7487786.997082645, 0.8193289448733618, 0.5733237131784308, 55.01767487222246
501997.8827818414, 7488286.997082645, 0.8505164206660125, 0.5259484938446675, 58.26788263617532
501997.8827818414, 7488786.997082645, 0.8540553243743313, 0.5201821824205977, 58.655527273196796
501997.8827818414, 7489286.997082645, 0.8273878751753926, 0.5616309322079304, 55.8313372252389
501997.8827818414, 7489786.997082645, 0.7529176403068915, 0.6581147520871282, 48.843748928537835
501997.8827818414, 7490286.997082645, 0.6188016353182386, 0.7855472844631782, 38.228676250112365
501997.8827818414, 7490786.997082645, 0.4577932161063424, 0.889058699573325, 27.244799195164642
501997.8827818414, 7491286.997082645, 0.33711102042297647, 0.9414649010501557, 19.70095924273198
501997.8827818414, 7491786.997082645, 0.2958081951023705, 0.9552473562958853, 17.20600660762687
501997.8827818414, 7492286.997082645, 0.32358015232530707, 0.9462007635914965, 18.87957612154515
501997.8827818414, 7492786.997082645, 0.3852927116604395, 0.9227944117415023, 22.661913360145757
501997.8827818414, 7493286.997082645, 0.4523824729583359, 0.8918240286963008, 26.896643993704977
501997.8827818414, 7493786.997082645, 0.5118022566796699, 0.8591032825321978, 30.783951889628266
501997.8827818414, 7494286.997082645, 0.5585705163778215, 0.8294570382083776, 33.956996963701165
501997.8827818414, 7494786.997082645, 0.5908937654750139, 0.8067493773922352, 36.22045819160039
501997.8827818414, 7495286.997082645, 0.6088575773641964, 0.7932795538057195, 37.50694413306272
502497.8827818414, 7486786.997082645, 0.7653750426610492, 0.6435845275265691, 49.94036901690898
502497.8827818414, 7487286.997082645, 0.8170813630612135, 0.5765223726257546, 54.7936852626088
502497.8827818414, 7487786.997082645, 0.8492261253220668, 0.5280293439482975, 58.12759801547387
502497.8827818414, 7488286.997082645, 0.8567209952658046, 0.5157801239586199, 58.950386176137755
502497.8827818414, 7488786.997082645, 0.8486455235903533, 0.528961979059039, 58.06465326893656
502497.8827818414, 7489286.997082645, 0.8189609885163974, 0.5738491955978026, 54.9809195663487
502497.8827818414, 7489786.997082645, 0.741500727364819, 0.6709520633528481, 47.85941190372489
502497.8827818414, 7490286.997082645, 0.6043467454263985, 0.7967214138533744, 37.18184881048043
502497.8827818414, 7490786.997082645, 0.44941415222256303, 0.8933235246998005, 26.706102776722012
502497.8827818414, 7491286.997082645, 0.3495815743590065, 0.9369059306401462, 20.461724475246058
502497.8827818414, 7491786.997082645, 0.3428619578193867, 0.9393857982108613, 20.051336244308548
502497.8827818414, 7492286.997082645, 0.4097264456751585, 0.9122084409357334, 24.18765170654127
502497.8827818414, 7492786.997082645, 0.5012746810317997, 0.8652882145022359, 30.084368111449866
502497.8827818414, 7493286.997082645, 0.5849617259372486, 0.8110608973366397, 35.800286170770455
502497.8827818414, 7493786.997082645, 0.6509692063397229, 0.7591041380452561, 40.61471579503819
502497.8827818414, 7494286.997082645, 0.6969844864474709, 0.7170862051744932, 44.185566832938534
502497.8827818414, 7494786.997082645, 0.7237293309263471, 0.6900839481953641, 46.36324553808587
502497.8827818414, 7495286.997082645, 0.7340843186376348, 0.6790583282239601, 47.22989875743228
502997.8827818414, 7486786.997082645, 0.8162070230514211, 0.5777595481872514, 54.706885007080096
502997.8827818414, 7487286.997082645, 0.80767665358596, 0.5896256636648248, 53.86955134167017
502997.8827818414, 7487786.997082645, 0.8080234005046125, 0.5891503918669346, 53.9032594142624
502997.8827818414, 7488286.997082645, 0.7992675984921225, 0.600975295665833, 53.06021996729971
502997.8827818414, 7488786.997082645, 0.7895691571200615, 0.6136615892531613, 52.14526677133874
502997.8827818414, 7489286.997082645, 0.7678385742683855, 0.640643367143915, 50.16018948840929
502997.8827818414, 7489786.997082645, 0.7002853022938216, 0.7138630788822538, 44.44989832757992
502997.8827818414, 7490286.997082645, 0.5758624575593941, 0.8175465919283469, 35.16005302264443
502997.8827818414, 7490786.997082645, 0.441102538875743, 0.8974567121579589, 26.174248631383616
502997.8827818414, 7491286.997082645, 0.36753950720497014, 0.9300079089145036, 21.56395212714074
502997.8827818414, 7491786.997082645, 0.3890934728570241, 0.9211982790800579, 22.898104390836984
502997.8827818414, 7492286.997082645, 0.4811025125797721, 0.8766643441987534, 28.757433631524197
502997.8827818414, 7492786.997082645, 0.5907265660228181, 0.8068718139796984, 36.2085844966283
502997.8827818414, 7493286.997082645, 0.6870015327016433, 0.7266559667859289, 43.3932203708261
502997.8827818414, 7493786.997082645, 0.7607032503017335, 0.6490998112620109, 49.52623416348957
502997.8827818414, 7494286.997082645, 0.8079023263092927, 0.5893164100413572, 53.89148642182151
502997.8827818414, 7494786.997082645, 0.8303259770493446, 0.5572780022906442, 56.132238299590846
502997.8827818414, 7495286.997082645, 0.8339687958940897, 0.5518116050564379, 56.50861437128923
503497.8827818414, 7486786.997082645, 0.8282755447778403, 0.5603209990023326, 55.92200013118925
503497.8827818414, 7487286.997082645, 0.7574773503894854, 0.6528614429164313, 49.242308553138336
503497.8827818414, 7487786.997082645, 0.7315538709990271, 0.6817836415068484, 47.016819199194565
503497.8827818414, 7488286.997082645, 0.7150743988316411, 0.6990483560781522, 45.649296747146124
503497.8827818414, 7488786.997082645, 0.713525712660679, 0.7006290440540345, 45.52250589495768
503497.8827818414, 7489286.997082645, 0.7093470444716041, 0.7048593976811262, 45.1818138783274
503497.8827818414, 7489786.997082645, 0.660414771886358, 0.7509010115017091, 41.33151332715839
503497.8827818414, 7490286.997082645, 0.5535540844329404, 0.832813229726575, 33.6111813503556
503497.8827818414, 7490786.997082645, 0.4376659520647871, 0.8991376504202365, 25.95505426659034
503497.8827818414, 7491286.997082645, 0.38247391123744856, 0.9239662911723178, 22.487006842099756
503497.8827818414, 7491786.997082645, 0.4163177478014313, 0.9092191885709099, 24.602328785902113
503497.8827818414, 7492286.997082645, 0.5158314165065202, 0.8566901130192159, 31.05304422827608
503497.8827818414, 7492786.997082645, 0.6368089458446421, 0.771021638147877, 39.554280089950105
503497.8827818414, 7493286.997082645, 0.7505566222242077, 0.6608061416447246, 48.638617252124135
503497.8827818414, 7493786.997082645, 0.8394620260387307, 0.5434183534248264, 57.08335442760968
503497.8827818414, 7494286.997082645, 0.891944260390156, 0.4521453708234308, 63.118587750963556
503497.8827818414, 7494786.997082645, 0.9116909678401719, 0.41087659845585095, 65.74008675197594
503497.8827818414, 7495286.997082645, 0.9097644046975272, 0.4151249546165035, 65.47281428387099
503997.8827818414, 7486786.997082645, 0.8063538068644843, 0.5914334604629282, 53.741202979018006
503997.8827818414, 7487286.997082645, 0.7035288122612873, 0.7106667364652876, 44.71081123904884
503997.8827818414, 7487786.997082645, 0.6669645600868259, 0.7450894413345197, 41.8332181636274
503997.8827818414, 7488286.997082645, 0.6532477902131044, 0.7571441900864695, 40.786921282109624
503997.8827818414, 7488786.997082645, 0.6621587890232496, 0.7493635553716659, 41.46472286704607
503997.8827818414, 7489286.997082645, 0.6699424925000542, 0.7424129960761832, 42.06262650168097
503997.8827818414, 7489786.997082645, 0.6304307258573104, 0.7762455152173342, 39.08190786216564
503997.8827818414, 7490286.997082645, 0.5302232168049605, 0.8478580897538218, 32.020537927736754
503997.8827818414, 7490786.997082645, 0.42178161158138067, 0.9066974534715609, 24.947119270717952
503997.8827818414, 7491286.997082645, 0.3736741928307734, 0.927560023724756, 21.942393540726624
503997.8827818414, 7491786.997082645, 0.406889302550316, 0.9134774739806765, 24.009574859100773
503997.8827818414, 7492286.997082645, 0.5011473800939626, 0.8653619493743397, 30.075939133017123
503997.8827818414, 7492786.997082645, 0.6284938331091996, 0.7778145677111643, 38.93908748656609
503997.8827818414, 7493286.997082645, 0.767652902769266, 0.6408658368722114, 50.14358688708946
503997.8827818414, 7493786.997082645, 0.8838271909424207, 0.46781352754150884, 62.10753877038528
503997.8827818414, 7494286.997082645, 0.945749635672572, 0.3248963321202586, 71.04070557802264
503997.8827818414, 7494786.997082645, 0.9639287253338016, 0.26616050134524544, 74.564078620564
503997.8827818414, 7495286.997082645, 0.9593941250781054, 0.2820689858272563, 73.61627286519804
504497.8827818414, 7486786.997082645, 0.7798642969592763, 0.6259486227544668, 51.24815223893102
504497.8827818414, 7487286.997082645, 0.6833262659433944, 0.7301131516907894, 43.10411920250686
504497.8827818414, 7487786.997082645, 0.6473724745039043, 0.7621737854680464, 40.34378940207738
504497.8827818414, 7488286.997082645, 0.6390848624786135, 0.7691362288637115, 39.72361379986027
504497.8827818414, 7488786.997082645, 0.6519823687829572, 0.7582341266364657, 40.69123126252808
504497.8827818414, 7489286.997082645, 0.6574050813178346, 0.7535373640752603, 41.10226852727973
504497.8827818414, 7489786.997082645, 0.6082644161230953, 0.7937344644643006, 37.46411447470805
504497.8827818414, 7490286.997082645, 0.4949281179215963, 0.8689339204396307, 29.66501046402846
